schemaname,tablename,indexname,indexdef
public,eventinfo,eventinfo_pkey,CREATE UNIQUE INDEX eventinfo_pkey ON public.eventinfo USING btree (eventinfoid)
public,eventinfo,idx_eventinfo_eventid,CREATE INDEX idx_eventinfo_eventid ON public.eventinfo USING btree (eventid)
public,events,events_courtbookingid_key,CREATE UNIQUE INDEX events_courtbookingid_key ON public.events USING btree (courtbookingid)
public,events,events_pkey,CREATE UNIQUE INDEX events_pkey ON public.events USING btree (eventid)
public,events,idx_events_organizerid,CREATE INDEX idx_events_organizerid ON public.events USING btree (organizerid)
public,events,idx_events_status,CREATE INDEX idx_events_status ON public.events USING btree (status)
public,favouritecourts,favouritecourts_pkey,CREATE UNIQUE INDEX favouritecourts_pkey ON public.favouritecourts USING btree (favouriteid)
public,favouritecourts,idx_favouritecourts_courtid,CREATE INDEX idx_favouritecourts_courtid ON public.favouritecourts USING btree (courtid)
public,favouritecourts,idx_favouritecourts_userid,CREATE INDEX idx_favouritecourts_userid ON public.favouritecourts USING btree (userid)
public,favouritecourts,uc_usercourt,"CREATE UNIQUE INDEX uc_usercourt ON public.favouritecourts USING btree (userid, courtid)"
public,notifications,idx_notifications_unread_by_user_time,"CREATE INDEX idx_notifications_unread_by_user_time ON public.notifications USING btree (userid, ""time"" DESC) WHERE ((status)::text = 'unread'::text)"
public,notifications,idx_notifications_userid,CREATE INDEX idx_notifications_userid ON public.notifications USING btree (userid)
public,notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (notificationid)
public,notifications,notifications_user_category_time_idx,"CREATE INDEX notifications_user_category_time_idx ON public.notifications USING btree (userid, category, ""time"" DESC)"
public,notifications,notifications_user_status_time_idx,"CREATE INDEX notifications_user_status_time_idx ON public.notifications USING btree (userid, status, ""time"" DESC)"
public,notifications,notifications_user_time_idx,"CREATE INDEX notifications_user_time_idx ON public.notifications USING btree (userid, ""time"" DESC)"
public,payments,payments_pkey,CREATE UNIQUE INDEX payments_pkey ON public.payments USING btree (paymentid)
public,playingcourt,idx_playingcourt_courtid,CREATE INDEX idx_playingcourt_courtid ON public.playingcourt USING btree (courtid)
public,playingcourt,idx_playingcourt_courtid_part_price,"CREATE INDEX idx_playingcourt_courtid_part_price ON public.playingcourt USING btree (courtid, part, price)"
public,playingcourt,idx_playingcourt_group,"CREATE INDEX idx_playingcourt_group ON public.playingcourt USING btree (courtid, base_name)"
public,playingcourt,playingcourt_courtid_base_name_part_key,"CREATE UNIQUE INDEX playingcourt_courtid_base_name_part_key ON public.playingcourt USING btree (courtid, base_name, part)"
public,playingcourt,playingcourt_pkey,CREATE UNIQUE INDEX playingcourt_pkey ON public.playingcourt USING btree (playingcourtid)
public,playingcourtinfo,idx_playingcourtinfo_playingcourtid,CREATE INDEX idx_playingcourtinfo_playingcourtid ON public.playingcourtinfo USING btree (playingcourtid)
public,playingcourtinfo,playingcourtinfo_pkey,CREATE UNIQUE INDEX playingcourtinfo_pkey ON public.playingcourtinfo USING btree (playingcourtinfoid)
public,playingcourtinfo,playingcourtinfo_playingcourtid_key,CREATE UNIQUE INDEX playingcourtinfo_playingcourtid_key ON public.playingcourtinfo USING btree (playingcourtid)
public,review_reactions,idx_review_reactions_reviewid,CREATE INDEX idx_review_reactions_reviewid ON public.review_reactions USING btree (reviewid)
public,review_reactions,idx_review_reactions_userid,CREATE INDEX idx_review_reactions_userid ON public.review_reactions USING btree (userid)
public,review_reactions,review_reactions_pkey,CREATE UNIQUE INDEX review_reactions_pkey ON public.review_reactions USING btree (reactionid)
public,review_reactions,review_reactions_review_idx,CREATE INDEX review_reactions_review_idx ON public.review_reactions USING btree (reviewid)
public,review_reactions,review_reactions_reviewid_userid_key,"CREATE UNIQUE INDEX review_reactions_reviewid_userid_key ON public.review_reactions USING btree (reviewid, userid)"
public,review_reactions,review_reactions_user_idx,CREATE INDEX review_reactions_user_idx ON public.review_reactions USING btree (userid)
public,reviews,idx_reviews_target,"CREATE INDEX idx_reviews_target ON public.reviews USING btree (targettype, targetid)"
public,reviews,idx_reviews_userid,CREATE INDEX idx_reviews_userid ON public.reviews USING btree (userid)
public,reviews,reviews_pkey,CREATE UNIQUE INDEX reviews_pkey ON public.reviews USING btree (reviewid)
public,servicebooking,idx_servicebooking_courtbookingid,CREATE INDEX idx_servicebooking_courtbookingid ON public.servicebooking USING btree (courtbookingid)
public,servicebooking,idx_servicebooking_paymentid,CREATE INDEX idx_servicebooking_paymentid ON public.servicebooking USING btree (paymentid)
public,servicebooking,idx_servicebooking_serviceid,CREATE INDEX idx_servicebooking_serviceid ON public.servicebooking USING btree (serviceid)
public,servicebooking,servicebooking_pkey,CREATE UNIQUE INDEX servicebooking_pkey ON public.servicebooking USING btree (servicebookingid)
public,services,idx_services_courtid,CREATE INDEX idx_services_courtid ON public.services USING btree (courtid)
public,services,services_pkey,CREATE UNIQUE INDEX services_pkey ON public.services USING btree (serviceid)
public,spatial_ref_sys,spatial_ref_sys_pkey,CREATE UNIQUE INDEX spatial_ref_sys_pkey ON public.spatial_ref_sys USING btree (srid)
public,trainingsessioninfo,idx_trainingsessioninfo_sessionid,CREATE INDEX idx_trainingsessioninfo_sessionid ON public.trainingsessioninfo USING btree (sessionid)
public,trainingsessioninfo,trainingsessioninfo_pkey,CREATE UNIQUE INDEX trainingsessioninfo_pkey ON public.trainingsessioninfo USING btree (sessioninfoid)
public,trainingsessions,idx_trainingsessions_coachid,CREATE INDEX idx_trainingsessions_coachid ON public.trainingsessions USING btree (coachid)
public,trainingsessions,idx_trainingsessions_status,CREATE INDEX idx_trainingsessions_status ON public.trainingsessions USING btree (status)
public,trainingsessions,trainingsessions_courtbookingid_key,CREATE UNIQUE INDEX trainingsessions_courtbookingid_key ON public.trainingsessions USING btree (courtbookingid)
public,trainingsessions,trainingsessions_pkey,CREATE UNIQUE INDEX trainingsessions_pkey ON public.trainingsessions USING btree (sessionid)
public,tsbookings,idx_tsbookings_bookingstatus,CREATE INDEX idx_tsbookings_bookingstatus ON public.tsbookings USING btree (bookingstatus)
public,tsbookings,idx_tsbookings_paymentid,CREATE INDEX idx_tsbookings_paymentid ON public.tsbookings USING btree (paymentid)
public,tsbookings,idx_tsbookings_sessionid,CREATE INDEX idx_tsbookings_sessionid ON public.tsbookings USING btree (sessionid)
public,tsbookings,idx_tsbookings_upcoming_by_user,CREATE INDEX idx_tsbookings_upcoming_by_user ON public.tsbookings USING btree (userid) WHERE (bookingstatus = 'upcoming'::sessionstatus)
public,tsbookings,idx_tsbookings_user_lifecycle,"CREATE INDEX idx_tsbookings_user_lifecycle ON public.tsbookings USING btree (userid, bookingstatus, sessionid)"
public,tsbookings,idx_tsbookings_userid,CREATE INDEX idx_tsbookings_userid ON public.tsbookings USING btree (userid)
public,tsbookings,tsbookings_pkey,CREATE UNIQUE INDEX tsbookings_pkey ON public.tsbookings USING btree (tsbookingid)
public,unverified_users,idx_unverified_users_email_state,"CREATE INDEX idx_unverified_users_email_state ON public.unverified_users USING btree (email, email_verified, token_expires_at)"
public,unverified_users,idx_unverified_users_userid,CREATE INDEX idx_unverified_users_userid ON public.unverified_users USING btree (userid)
public,unverified_users,unverified_email_unique,CREATE UNIQUE INDEX unverified_email_unique ON public.unverified_users USING btree (email)
