tablename,indexname,indexdef
notifications,notifications_user_time_idx,"CREATE INDEX notifications_user_time_idx ON public.notifications USING btree (userid, ""time"" DESC)"
payments,payments_pkey,CREATE UNIQUE INDEX payments_pkey ON public.payments USING btree (paymentid)
playingcourt,idx_playingcourt_courtid,CREATE INDEX idx_playingcourt_courtid ON public.playingcourt USING btree (courtid)
playingcourt,idx_playingcourt_courtid_part_price,"CREATE INDEX idx_playingcourt_courtid_part_price ON public.playingcourt USING btree (courtid, part, price)"
playingcourt,idx_playingcourt_group,"CREATE INDEX idx_playingcourt_group ON public.playingcourt USING btree (courtid, base_name)"
playingcourt,playingcourt_courtid_base_name_part_key,"CREATE UNIQUE INDEX playingcourt_courtid_base_name_part_key ON public.playingcourt USING btree (courtid, base_name, part)"
playingcourt,playingcourt_pkey,CREATE UNIQUE INDEX playingcourt_pkey ON public.playingcourt USING btree (playingcourtid)
playingcourtinfo,idx_playingcourtinfo_playingcourtid,CREATE INDEX idx_playingcourtinfo_playingcourtid ON public.playingcourtinfo USING btree (playingcourtid)
playingcourtinfo,playingcourtinfo_pkey,CREATE UNIQUE INDEX playingcourtinfo_pkey ON public.playingcourtinfo USING btree (playingcourtinfoid)
playingcourtinfo,playingcourtinfo_playingcourtid_key,CREATE UNIQUE INDEX playingcourtinfo_playingcourtid_key ON public.playingcourtinfo USING btree (playingcourtid)
review_reactions,idx_review_reactions_reviewid,CREATE INDEX idx_review_reactions_reviewid ON public.review_reactions USING btree (reviewid)
review_reactions,idx_review_reactions_userid,CREATE INDEX idx_review_reactions_userid ON public.review_reactions USING btree (userid)
review_reactions,review_reactions_pkey,CREATE UNIQUE INDEX review_reactions_pkey ON public.review_reactions USING btree (reactionid)
review_reactions,review_reactions_review_idx,CREATE INDEX review_reactions_review_idx ON public.review_reactions USING btree (reviewid)
review_reactions,review_reactions_reviewid_userid_key,"CREATE UNIQUE INDEX review_reactions_reviewid_userid_key ON public.review_reactions USING btree (reviewid, userid)"
review_reactions,review_reactions_user_idx,CREATE INDEX review_reactions_user_idx ON public.review_reactions USING btree (userid)
reviews,idx_reviews_target,"CREATE INDEX idx_reviews_target ON public.reviews USING btree (targettype, targetid)"
reviews,idx_reviews_userid,CREATE INDEX idx_reviews_userid ON public.reviews USING btree (userid)
reviews,reviews_pkey,CREATE UNIQUE INDEX reviews_pkey ON public.reviews USING btree (reviewid)
servicebooking,idx_servicebooking_courtbookingid,CREATE INDEX idx_servicebooking_courtbookingid ON public.servicebooking USING btree (courtbookingid)
servicebooking,idx_servicebooking_paymentid,CREATE INDEX idx_servicebooking_paymentid ON public.servicebooking USING btree (paymentid)
servicebooking,idx_servicebooking_serviceid,CREATE INDEX idx_servicebooking_serviceid ON public.servicebooking USING btree (serviceid)
servicebooking,servicebooking_pkey,CREATE UNIQUE INDEX servicebooking_pkey ON public.servicebooking USING btree (servicebookingid)
services,idx_services_courtid,CREATE INDEX idx_services_courtid ON public.services USING btree (courtid)
services,services_pkey,CREATE UNIQUE INDEX services_pkey ON public.services USING btree (serviceid)
trainingsessioninfo,idx_trainingsessioninfo_sessionid,CREATE INDEX idx_trainingsessioninfo_sessionid ON public.trainingsessioninfo USING btree (sessionid)
trainingsessioninfo,trainingsessioninfo_pkey,CREATE UNIQUE INDEX trainingsessioninfo_pkey ON public.trainingsessioninfo USING btree (sessioninfoid)
trainingsessions,idx_trainingsessions_coachid,CREATE INDEX idx_trainingsessions_coachid ON public.trainingsessions USING btree (coachid)
trainingsessions,idx_trainingsessions_status,CREATE INDEX idx_trainingsessions_status ON public.trainingsessions USING btree (status)
trainingsessions,trainingsessions_courtbookingid_key,CREATE UNIQUE INDEX trainingsessions_courtbookingid_key ON public.trainingsessions USING btree (courtbookingid)
trainingsessions,trainingsessions_pkey,CREATE UNIQUE INDEX trainingsessions_pkey ON public.trainingsessions USING btree (sessionid)
tsbookings,idx_tsbookings_bookingstatus,CREATE INDEX idx_tsbookings_bookingstatus ON public.tsbookings USING btree (bookingstatus)
tsbookings,idx_tsbookings_paymentid,CREATE INDEX idx_tsbookings_paymentid ON public.tsbookings USING btree (paymentid)
tsbookings,idx_tsbookings_sessionid,CREATE INDEX idx_tsbookings_sessionid ON public.tsbookings USING btree (sessionid)
tsbookings,idx_tsbookings_upcoming_by_user,CREATE INDEX idx_tsbookings_upcoming_by_user ON public.tsbookings USING btree (userid) WHERE (bookingstatus = 'upcoming'::sessionstatus)
tsbookings,idx_tsbookings_userid,CREATE INDEX idx_tsbookings_userid ON public.tsbookings USING btree (userid)
tsbookings,tsbookings_pkey,CREATE UNIQUE INDEX tsbookings_pkey ON public.tsbookings USING btree (tsbookingid)
unverified_users,idx_unverified_users_userid,CREATE INDEX idx_unverified_users_userid ON public.unverified_users USING btree (userid)
unverified_users,unverified_email_unique,CREATE UNIQUE INDEX unverified_email_unique ON public.unverified_users USING btree (email)
unverified_users,unverified_token_hash_idx,CREATE INDEX unverified_token_hash_idx ON public.unverified_users USING btree (token_hash)
unverified_users,unverified_users_pkey,CREATE UNIQUE INDEX unverified_users_pkey ON public.unverified_users USING btree (unverifiedid)
user_tokens,idx_user_tokens_expiry,CREATE INDEX idx_user_tokens_expiry ON public.user_tokens USING btree (refresh_token_expires_at)
user_tokens,idx_user_tokens_user_id,CREATE INDEX idx_user_tokens_user_id ON public.user_tokens USING btree (userid)
user_tokens,idx_user_tokens_userid,CREATE INDEX idx_user_tokens_userid ON public.user_tokens USING btree (userid)
user_tokens,uq_user_tokens_refresh_hash,CREATE UNIQUE INDEX uq_user_tokens_refresh_hash ON public.user_tokens USING btree (refresh_token_hash)
user_tokens,user_tokens_pkey,CREATE UNIQUE INDEX user_tokens_pkey ON public.user_tokens USING btree (tokenid)
userinfo,idx_userinfo_userid,CREATE INDEX idx_userinfo_userid ON public.userinfo USING btree (userid)
userinfo,userinfo_contactnumber_key,CREATE UNIQUE INDEX userinfo_contactnumber_key ON public.userinfo USING btree (contactnumber)
userinfo,userinfo_email_key,CREATE UNIQUE INDEX userinfo_email_key ON public.userinfo USING btree (email)
userinfo,userinfo_pkey,CREATE UNIQUE INDEX userinfo_pkey ON public.userinfo USING btree (infoid)
