table_name,constraint_name,constraint_type,column_name,foreign_table,foreign_column,check_clause
eventbooking,35901_36097_9_not_null,CHECK,null,null,null,bookingstatus IS NOT NULL
eventbooking,eventbooking_eventid_fkey,FOREIGN KEY,eventid,events,eventid,null
eventbooking,eventbooking_paymentid_fkey,FOREIGN KEY,paymentid,payments,paymentid,null
eventbooking,eventbooking_userid_fkey,FOREIGN KEY,userid,users,userid,null
eventbooking,eventbooking_pkey,PRIMARY KEY,eventbookingid,null,null,null
eventinfo,35901_48685_10_not_null,CHECK,null,null,null,auto_approve IS NOT NULL
eventinfo,35901_48685_1_not_null,CHECK,null,null,null,eventinfoid IS NOT NULL
eventinfo,35901_48685_2_not_null,CHECK,null,null,null,eventid IS NOT NULL
eventinfo,35901_48685_5_not_null,CHECK,null,null,null,title IS NOT NULL
eventinfo,35901_48685_8_not_null,CHECK,null,null,null,participants_cap IS NOT NULL
eventinfo,35901_48685_9_not_null,CHECK,null,null,null,join_status IS NOT NULL
eventinfo,eventinfo_eventid_fkey,FOREIGN KEY,eventid,events,eventid,null
eventinfo,eventinfo_pkey,PRIMARY KEY,eventinfoid,null,null,null
events,35901_36076_1_not_null,CHECK,null,null,null,eventid IS NOT NULL
events,35901_36076_2_not_null,CHECK,null,null,null,time IS NOT NULL
events,35901_36076_3_not_null,CHECK,null,null,null,courtbookingid IS NOT NULL
events,35901_36076_4_not_null,CHECK,null,null,null,status IS NOT NULL
events,35901_36076_5_not_null,CHECK,null,null,null,organizerid IS NOT NULL
events,events_courtbookingid_fkey,FOREIGN KEY,courtbookingid,courtbooking,courtbookingid,null
events,events_organizerid_fkey,FOREIGN KEY,organizerid,users,userid,null
events,events_pkey,PRIMARY KEY,eventid,null,null,null
events,events_courtbookingid_key,UNIQUE,courtbookingid,null,null,null
favouritecourts,35901_50953_1_not_null,CHECK,null,null,null,favouriteid IS NOT NULL
favouritecourts,35901_50953_2_not_null,CHECK,null,null,null,userid IS NOT NULL
favouritecourts,35901_50953_3_not_null,CHECK,null,null,null,courtid IS NOT NULL
favouritecourts,fk_court,FOREIGN KEY,courtid,courts,courtid,null
favouritecourts,fk_user,FOREIGN KEY,userid,users,userid,null
favouritecourts,favouritecourts_pkey,PRIMARY KEY,favouriteid,null,null,null
favouritecourts,uc_usercourt,UNIQUE,courtid,null,null,null
favouritecourts,uc_usercourt,UNIQUE,userid,null,null,null
notifications,35901_36176_11_not_null,CHECK,null,null,null,data IS NOT NULL
notifications,35901_36176_13_not_null,CHECK,null,null,null,created_at IS NOT NULL
notifications,35901_36176_1_not_null,CHECK,null,null,null,notificationid IS NOT NULL
notifications,35901_36176_2_not_null,CHECK,null,null,null,status IS NOT NULL
notifications,35901_36176_3_not_null,CHECK,null,null,null,userid IS NOT NULL
notifications,35901_36176_4_not_null,CHECK,null,null,null,message IS NOT NULL
notifications,35901_36176_5_not_null,CHECK,null,null,null,time IS NOT NULL
notifications,35901_36176_6_not_null,CHECK,null,null,null,notificationtype IS NOT NULL
notifications,35901_36176_7_not_null,CHECK,null,null,null,notificationtypeid IS NOT NULL
notifications,notifications_status_chk,CHECK,null,null,null,"((status)::text = ANY ((ARRAY['unread'::character varying, 'read'::character varying])::text[]))"
notifications,notifications_userid_fkey,FOREIGN KEY,userid,users,userid,null
notifications,notifications_pkey,PRIMARY KEY,notificationid,null,null,null
payments,35901_36021_1_not_null,CHECK,null,null,null,paymentid IS NOT NULL
payments,35901_36021_2_not_null,CHECK,null,null,null,status IS NOT NULL
payments,35901_36021_3_not_null,CHECK,null,null,null,time IS NOT NULL
payments,35901_36021_4_not_null,CHECK,null,null,null,method IS NOT NULL
payments,35901_36021_5_not_null,CHECK,null,null,null,amount IS NOT NULL
payments,payments_pkey,PRIMARY KEY,paymentid,null,null,null
playingcourt,35901_137092_1_not_null,CHECK,null,null,null,playingcourtid IS NOT NULL
playingcourt,35901_137092_2_not_null,CHECK,null,null,null,courtid IS NOT NULL
playingcourt,35901_137092_3_not_null,CHECK,null,null,null,base_name IS NOT NULL
playingcourt,35901_137092_4_not_null,CHECK,null,null,null,name IS NOT NULL
playingcourt,35901_137092_5_not_null,CHECK,null,null,null,part IS NOT NULL
playingcourt,35901_137092_6_not_null,CHECK,null,null,null,surface IS NOT NULL
playingcourt,35901_137092_7_not_null,CHECK,null,null,null,created_at IS NOT NULL
playingcourt,35901_137092_8_not_null,CHECK,null,null,null,allow_half_booking IS NOT NULL
playingcourt,35901_137092_9_not_null,CHECK,null,null,null,price IS NOT NULL
playingcourt,playingcourt_part_check,CHECK,null,null,null,"(part = ANY (ARRAY['full'::text, 'half_a'::text, 'half_b'::text]))"
playingcourt,playingcourt_courtid_fkey,FOREIGN KEY,courtid,courts,courtid,null
playingcourt,playingcourt_pkey,PRIMARY KEY,playingcourtid,null,null,null
playingcourt,playingcourt_courtid_base_name_part_key,UNIQUE,base_name,null,null,null
playingcourt,playingcourt_courtid_base_name_part_key,UNIQUE,courtid,null,null,null
playingcourt,playingcourt_courtid_base_name_part_key,UNIQUE,part,null,null,null
playingcourtinfo,35901_137111_1_not_null,CHECK,null,null,null,playingcourtinfoid IS NOT NULL
playingcourtinfo,35901_137111_2_not_null,CHECK,null,null,null,playingcourtid IS NOT NULL
playingcourtinfo,35901_137111_4_not_null,CHECK,null,null,null,images IS NOT NULL
playingcourtinfo,playingcourtinfo_playingcourtid_fkey,FOREIGN KEY,playingcourtid,playingcourt,playingcourtid,null
playingcourtinfo,playingcourtinfo_pkey,PRIMARY KEY,playingcourtinfoid,null,null,null
playingcourtinfo,playingcourtinfo_playingcourtid_key,UNIQUE,playingcourtid,null,null,null
review_reactions,35901_139512_1_not_null,CHECK,null,null,null,reactionid IS NOT NULL
review_reactions,35901_139512_2_not_null,CHECK,null,null,null,reviewid IS NOT NULL
review_reactions,35901_139512_3_not_null,CHECK,null,null,null,userid IS NOT NULL
review_reactions,35901_139512_4_not_null,CHECK,null,null,null,reaction IS NOT NULL
review_reactions,35901_139512_5_not_null,CHECK,null,null,null,created_at IS NOT NULL
review_reactions,review_reactions_reviewid_fkey,FOREIGN KEY,reviewid,reviews,reviewid,null
review_reactions,review_reactions_userid_fkey,FOREIGN KEY,userid,users,userid,null
review_reactions,review_reactions_pkey,PRIMARY KEY,reactionid,null,null,null
review_reactions,review_reactions_reviewid_userid_key,UNIQUE,reviewid,null,null,null
review_reactions,review_reactions_reviewid_userid_key,UNIQUE,userid,null,null,null
reviews,35901_36162_10_not_null,CHECK,null,null,null,dislike_count IS NOT NULL
reviews,35901_36162_1_not_null,CHECK,null,null,null,reviewid IS NOT NULL
reviews,35901_36162_2_not_null,CHECK,null,null,null,rating IS NOT NULL
reviews,35901_36162_3_not_null,CHECK,null,null,null,comment IS NOT NULL
reviews,35901_36162_4_not_null,CHECK,null,null,null,targettype IS NOT NULL
reviews,35901_36162_5_not_null,CHECK,null,null,null,targetid IS NOT NULL
reviews,35901_36162_6_not_null,CHECK,null,null,null,userid IS NOT NULL
reviews,35901_36162_7_not_null,CHECK,null,null,null,created_at IS NOT NULL
reviews,35901_36162_9_not_null,CHECK,null,null,null,like_count IS NOT NULL
reviews,chk_rating,CHECK,null,null,null,((rating >= 1) AND (rating <= 5))
reviews,reviews_userid_fkey,FOREIGN KEY,userid,users,userid,null
reviews,reviews_pkey,PRIMARY KEY,reviewid,null,null,null
servicebooking,35901_132518_1_not_null,CHECK,null,null,null,servicebookingid IS NOT NULL
servicebooking,35901_132518_2_not_null,CHECK,null,null,null,courtbookingid IS NOT NULL
servicebooking,35901_132518_3_not_null,CHECK,null,null,null,serviceid IS NOT NULL
servicebooking,35901_132518_4_not_null,CHECK,null,null,null,quantity IS NOT NULL
servicebooking,35901_132518_5_not_null,CHECK,null,null,null,unit_price IS NOT NULL
servicebooking,servicebooking_courtbookingid_fkey,FOREIGN KEY,courtbookingid,courtbooking,courtbookingid,null
servicebooking,servicebooking_paymentid_fkey,FOREIGN KEY,paymentid,payments,paymentid,null
servicebooking,servicebooking_serviceid_fkey,FOREIGN KEY,serviceid,services,serviceid,null
servicebooking,servicebooking_pkey,PRIMARY KEY,servicebookingid,null,null,null
services,35901_132502_1_not_null,CHECK,null,null,null,serviceid IS NOT NULL
services,35901_132502_2_not_null,CHECK,null,null,null,courtid IS NOT NULL
services,35901_132502_3_not_null,CHECK,null,null,null,name IS NOT NULL
services,35901_132502_4_not_null,CHECK,null,null,null,category IS NOT NULL
services,35901_132502_5_not_null,CHECK,null,null,null,price IS NOT NULL
services,35901_132502_6_not_null,CHECK,null,null,null,stock IS NOT NULL
services,35901_132502_8_not_null,CHECK,null,null,null,status IS NOT NULL
services,services_courtid_fkey,FOREIGN KEY,courtid,courts,courtid,null
services,services_pkey,PRIMARY KEY,serviceid,null,null,null
trainingsessioninfo,35901_48699_1_not_null,CHECK,null,null,null,sessioninfoid IS NOT NULL
trainingsessioninfo,35901_48699_3_not_null,CHECK,null,null,null,numberofpeople IS NOT NULL
trainingsessioninfo,35901_48699_4_not_null,CHECK,null,null,null,description IS NOT NULL
trainingsessioninfo,35901_48699_5_not_null,CHECK,null,null,null,title IS NOT NULL
trainingsessioninfo,35901_48699_8_not_null,CHECK,null,null,null,participants_cap IS NOT NULL
trainingsessioninfo,35901_48699_9_not_null,CHECK,null,null,null,join_status IS NOT NULL
trainingsessioninfo,trainingsessioninfo_sessionid_fkey,FOREIGN KEY,sessionid,trainingsessions,sessionid,null
trainingsessioninfo,trainingsessioninfo_pkey,PRIMARY KEY,sessioninfoid,null,null,null
trainingsessions,35901_36119_1_not_null,CHECK,null,null,null,sessionid IS NOT NULL
trainingsessions,35901_36119_3_not_null,CHECK,null,null,null,courtbookingid IS NOT NULL
trainingsessions,35901_36119_4_not_null,CHECK,null,null,null,time IS NOT NULL
trainingsessions,35901_36119_5_not_null,CHECK,null,null,null,status IS NOT NULL
